Player,pos,Team,FPTS,avg,,,,,,,,,,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL
Breece Hall,RB,NYJ,253.5,14.91,,,,,,,,,,259.3,"1,159.70",6.5,47.4,411.3,2.2,,,
George Pickens,WR,DAL,252.3,14.84,,,,,,,,,,82.7,"1,202.10",8.4,0.3,-0.3,0,0.5,,
Kenneth Walker III,RB,KC,251.2,14.78,,,,,,,,,,255.7,"1,158.10",8.3,45.1,347.1,1.2,,,
Bryce Young,QB,CAR,248.8,14.64,,,,,,,,,,513.5,325.9,"3,365.90",22.1,12.4,58.3,257.5,3,3
Nico Collins,WR,HOU,248.5,14.62,,,,,,,,,,82.5,"1,212.50",7.2,1.4,8.3,0.4,0.8,,
Cam Skattebo,RB,NYG,244.3,14.37,,,,,,,,,,243.4,"1,015.70",8.1,45.8,364,2.5,,,
Brock Bowers,TE,LV,243.7,14.34,,,,,,,,,,96.5,"1,025.00",7.5,0.2,,,,,
Zay Flowers,WR,BAL,243.6,14.33,,,,,,,,,,81.9,"1,168.30",6.5,9.9,58.8,0.5,1.5,,
Garrett Wilson,WR,NYJ,242.1,14.24,,,,,,,,,,96.4,"1,090.20",6.4,1.1,4.3,0,1,,
Kyren Williams,RB,LAR,239.8,14.11,,,,,,,,,,240.2,"1,118.10",10.1,33.5,239.6,2.2,,,
DeVonta Smith,WR,PHI,236.7,13.92,,,,,,,,,,87.8,"1,134.80",6,0,0,0,0.3,,
Geno Smith,QB,NYJ,234.5,13.79,,,,,,,,,,520.2,340.4,"3,455.70",22.1,14.8,57.3,209.6,1,2.2
Javonte Williams,RB,DAL,234,13.76,,,,,,,,,,255.5,"1,157.40",10.4,33,192.1,1.2,,,
Jacoby Brissett,QB,ARI,232.4,13.67,,,,,,,,,,541.2,347.3,"3,590.40",19.7,10.4,48.7,215.1,1.4,4.8
Travis Etienne Jr.,RB,NO,231.9,13.64,,,,,,,,,,244.6,"1,036.30",5.4,44.9,351.2,3,,,
Malik Nabers,WR,NYG,231.3,13.61,,,,,,,,,,78.5,"1,047.20",8,2.7,7.9,0,0.4,,
Emeka Egbuka,WR,TB,227.9,13.41,,,,,,,,,,72.9,"1,097.10",7.5,1.4,7.3,0,0.3,,
Tetairoa McMillan,WR,CAR,227.7,13.39,,,,,,,,,,78.5,"1,125.10",6.4,0,0,0,0.9,,
Bucky Irving,RB,TB,223.9,13.17,,,,,,,,,,256.5,"1,020.90",6.1,39.9,336.2,2.3,,,
Aaron Rodgers,QB,PIT,223.1,13.12,,,,,,,,,,526.8,338.9,"3,480.30",21.7,9.4,26,82.5,0.6,2.7
D'Andre Swift,RB,CHI,222.7,13.10,,,,,,,,,,233.1,"1,053.10",8.1,34.8,299.9,1,,,
Davante Adams,WR,LAR,222,13.06,,,,,,,,,,68.5,926.1,10.2,0,0,0,0.2,,
Tee Higgins,WR,CIN,221.4,13.02,,,,,,,,,,70.7,964.8,9.1,0,0,0,0.2,,
Jameson Williams,WR,DET,217.3,12.78,,,,,,,,,,64.4,"1,065.00",6.6,7.3,42,0.5,0.2,,
Terry McLaurin,WR,WAS,214.2,12.60,,,,,,,,,,71.4,980.5,7.6,0.3,0.3,0,0.3,,
Quinshon Judkins,RB,CLE,213.7,12.57,,,,,,,,,,289.1,"1,104.10",8.1,31.3,218.3,0.6,,,
Ladd McConkey,WR,LAC,212.6,12.51,,,,,,,,,,76.9,977.3,6.4,0,0,0,0.3,,
Rome Odunze,WR,CHI,209.9,12.35,,,,,,,,,,63.4,980.1,8.1,0.3,1.3,0,0.3,,
Jaylen Waddle,WR,DEN,209.7,12.34,,,,,,,,,,74.6,983.7,6,1.7,12.4,0,0.3,,
Colston Loveland,TE,CHI,209.3,12.31,,,,,,,,,,78.1,916,6.7,0.2,,,,,
Bhayshul Tuten,RB,JAX,208.5,12.26,,,,,,,,,,243,992.8,8.2,29.2,221.6,2.1,,,
Luther Burden III,WR,CHI,208.1,12.24,,,,,,,,,,72.7,972.9,5.7,7.7,38.2,0.1,0.3,,
DJ Moore,WR,BUF,207.6,12.21,,,,,,,,,,69.1,899.6,7,10.3,54,0.5,0.8,,
Alec Pierce,WR,IND,207.4,12.20,,,,,,,,,,63.8,"1,049.70",6.5,0,0,0,0.3,,
Courtland Sutton,WR,DEN,204.4,12.02,,,,,,,,,,69.4,902.9,7.5,0,0,0,0.2,,
Tyler Warren,TE,IND,201.8,11.87,,,,,,,,,,82.7,871.3,5.4,0.3,,,,,
TreVeyon Henderson,RB,NE,201.6,11.86,,,,,,,,,,190.1,885.9,7.3,37.7,261.5,1.2,,,
Marvin Harrison Jr.,WR,ARI,197.3,11.61,,,,,,,,,,67.3,944.9,6,0,0,0,0.3,,
Kyle Pitts Sr.,TE,ATL,195.7,11.51,,,,,,,,,,79.5,881.3,4.7,0.1,,,,,
DK Metcalf,WR,PIT,194.8,11.46,,,,,,,,,,64.2,923.5,6.1,0.7,3.3,0.3,0.2,,
Mike Evans,WR,SF,193.7,11.39,,,,,,,,,,64.2,900.7,6.7,0,0,0,0.2,,
Fernando Mendoza,QB,LV,192.7,11.34,,,,,,,,,,430.6,275.5,"2,887.10",16.1,12.2,50.4,227.1,1.3,2.7
Jaylen Warren,RB,PIT,192.6,11.33,,,,,,,,,,188,825.9,4.8,42,320.6,1.5,,,
David Montgomery,RB,HOU,191.9,11.29,,,,,,,,,,225.5,936.6,7.3,30.5,226.2,0.5,,,
Christian Watson,WR,GB,190.8,11.22,,,,,,,,,,56,901,7.4,1.7,8,0,0.3,,
Harold Fannin Jr.,TE,CLE,190.5,11.21,,,,,,,,,,78.3,814.4,5.4,0.8,,,,,
Michael Pittman Jr.,WR,PIT,189.9,11.17,,,,,,,,,,80.5,803.4,5,0,0,0,0.3,,
Jadarian Price,RB,SEA,187.5,11.03,,,,,,,,,,215.2,912.2,7.6,26,220.1,1.1,,,
Chuba Hubbard,RB,CAR,186.4,10.96,,,,,,,,,,207,834.2,5.4,36.4,260.4,1.8,,,
Rhamondre Stevenson,RB,NE,185.9,10.94,,,,,,,,,,168.8,733.6,6.5,36.8,309.8,1.6,,,
Rico Dowdle,RB,PIT,185.8,10.93,,,,,,,,,,206.6,899.4,6.2,32.1,225.7,1,,,
Jakobi Meyers,WR,JAX,185.7,10.92,,,,,,,,,,70.6,814.8,5.4,4.7,23,0.1,0.8,,
Sam LaPorta,TE,DET,183.1,10.77,,,,,,,,,,69.8,809.4,5.5,0.2,,,,,
Travis Kelce,TE,KC,181.8,10.69,,,,,,,,,,74.9,784.2,4.8,0.3,,,,,
Dallas Goedert,TE,PHI,179.3,10.55,,,,,,,,,,65.5,688.8,7.6,0.2,,,,,
Parker Washington,WR,JAX,178.7,10.51,,,,,,,,,,60.9,844,5.4,5.3,13.6,0.1,0.4,,
RJ Harvey,RB,DEN,177.9,10.46,,,,,,,,,,130.5,495.7,4.6,46.6,343.9,3.5,,,
Michael Wilson,WR,ARI,176.6,10.39,,,,,,,,,,67.5,826.3,4.5,0,0.7,0,0.2,,
Jayden Reed,WR,GB,176,10.35,,,,,,,,,,62.8,757.3,4.8,12,86.6,0.1,0.4,,
Chris Godwin Jr.,WR,TB,175.7,10.34,,,,,,,,,,67.8,773.2,5.2,0.3,0.3,0,0.3,,
Brian Thomas Jr.,WR,JAX,175.4,10.32,,,,,,,,,,55.7,838,5.3,2.7,18,0.4,0.2,,
Tucker Kraft,TE,GB,174.9,10.29,,,,,,,,,,59.9,770.1,6.4,0.2,,,,,
Josh Downs,WR,IND,174.3,10.25,,,,,,,,,,75.9,736.4,4.3,1.4,4.3,0,0.8,,
Jordyn Tyson,WR,NO,172.5,10.15,,,,,,,,,,63.2,856.5,4.3,0.7,3,0,1.3,,
Khalil Shakir,WR,BUF,171.8,10.11,,,,,,,,,,72.4,748.1,4.2,1.1,5.5,0,0.8,,
J.K. Dobbins,RB,DEN,170.6,10.04,,,,,,,,,,218.2,"1,021.10",6.6,17.7,94.3,0.6,,,
Quentin Johnston,WR,LAC,169.8,9.99,,,,,,,,,,53.6,756.3,6.9,1.7,6.3,0,0.7,,
George Kittle,TE,SF,169.3,9.96,,,,,,,,,,64.5,726,5.4,0.2,,,,,
Jordan Addison,WR,MIN,168.8,9.93,,,,,,,,,,55.2,757.8,5.4,2.7,37.1,0.4,0.2,,
Kenny Gainwell,RB,TB,168.3,9.90,,,,,,,,,,113.6,498.5,3.9,49.7,351.8,2,,,
Aaron Jones Sr.,RB,MIN,168,9.88,,,,,,,,,,160,682.2,3.6,41,303.4,1.7,,,
Jake Ferguson,TE,DAL,167.6,9.86,,,,,,,,,,74.1,607,5.9,1.4,,,,,
Xavier Worthy,WR,KC,167.3,9.84,,,,,,,,,,55.2,721.6,4.2,15.5,99.3,0.9,0.2,,
Rachaad White,RB,WAS,167.2,9.84,,,,,,,,,,139.9,618.2,5.4,38.9,262.7,1.6,,,
Isaiah Likely,TE,NYG,165.3,9.72,,,,,,,,,,62.9,746.1,5.1,1.3,,,,,
Tua Tagovailoa,QB,ATL,164.5,9.68,,,,,,,,,,379.3,248.7,"2,724.60",15.8,8.3,19.6,46.6,0.1,2.3
Mark Andrews,TE,BAL,162.9,9.58,,,,,,,,,,58.3,607.7,7.4,0.3,,,,,
John Metchie III,WR,CAR,162.7,9.57,,,,,,,,,,65,617,6,3,-4,0,0,,
Makai Lemon,WR,PHI,162.4,9.55,,,,,,,,,,56.8,798.2,4.6,1.5,7,0,1.3,,
Romeo Doubs,WR,NE,160.9,9.46,,,,,,,,,,56.7,735.1,5.2,0,0,0,0.3,,
Deebo Samuel Sr.,WR,SF,159.6,9.39,,,,,,,,,,54.5,631.9,4.2,29.1,111.7,1.1,0.4,,
Dalton Kincaid,TE,BUF,159.4,9.38,,,,,,,,,,56.8,701.6,5.5,0.2,,,,,
Rashid Shaheed,WR,SEA,156.7,9.22,,,,,,,,,,49.9,754.8,3.8,13.4,88.9,0.3,0.8,,
Kyle Monangai,RB,CHI,155.9,9.17,,,,,,,,,,191,816.9,5.2,22.9,192.7,0.4,,,
Matthew Golden,WR,GB,155.8,9.16,,,,,,,,,,54.9,731,4.2,5.5,27.3,0.1,0.4,,
Juwan Johnson,TE,NO,154,9.06,,,,,,,,,,64.5,726.3,3.3,1.3,,,,,
Hunter Henry,TE,NE,153.6,9.04,,,,,,,,,,56.3,651.7,5.4,0.1,,,,,
Jalen Coker,WR,CAR,153.3,9.02,,,,,,,,,,57.6,697.5,4.6,0,0,0,0.8,,
Brandon Aubrey,K,DAL,153,9.00,,,,,,,,,,35.2,39.9,47.5,,,,,,
Brenton Strange,TE,JAX,151.4,8.91,,,,,,,,,,60,658.4,4.3,0.2,,,,,
Jason Myers,K,SEA,150.4,8.85,,,,,,,,,,34.7,40,46.3,,,,,,
Dalton Schultz,TE,HOU,148.6,8.74,,,,,,,,,,65.8,629.8,3.4,0.2,,,,,
KC Concepcion,WR,CLE,145.3,8.55,,,,,,,,,,55.6,706.3,3.1,4.2,22.4,0.1,1.3,,
Theo Wease Jr.,WR,MIA,145.3,8.55,,,,,,,,,,48,685,5,2,8,0,1,,
Jonathon Brooks,RB,CAR,144.6,8.51,,,,,,,,,,167.9,678.5,4.3,26.5,204.3,1.1,,,
Jerry Jeudy,WR,CLE,144.5,8.50,,,,,,,,,,54.2,744.8,2.9,0.5,2,0,0.7,,
Ka'imi Fairbairn,K,HOU,144.5,8.50,,,,,,,,,,36.3,40.5,35.6,,,,,,
Cameron Dicker,K,LAC,144.1,8.48,,,,,,,,,,34.7,38.6,40.2,,,,,,
Jacory Croskey-Merritt,RB,WAS,143.6,8.45,,,,,,,,,,182.3,821.1,7.5,11.2,79.5,0.2,,,
Tre Tucker,WR,LV,142,8.35,,,,,,,,,,50.1,633.7,3.8,11.2,52.9,0.2,0.1,,
Tank Dell,WR,HOU,141.4,8.32,,,,,,,,,,50,633,3.8,10.2,48.8,0.1,0.2,,
T.J. Hockenson,TE,MIN,140.6,8.27,,,,,,,,,,63.9,574.1,3.3,0.2,,,,,
Blake Corum,RB,LAR,138.6,8.15,,,,,,,,,,167.7,801.5,6.4,11.9,80.4,0.2,,,
Jordan Mason,RB,MIN,138.4,8.14,,,,,,,,,,181.7,827.8,5.8,14.5,75.8,0.1,,,
Jayden Higgins,WR,HOU,137.9,8.11,,,,,,,,,,49.3,608.3,4.7,0,0,0,0.2,,
Harrison Mevis,K,LAR,136.9,8.05,,,,,,,,,,27.3,30.2,54.9,,,,,,
Shedeur Sanders,QB,CLE,136.6,8.04,,,,,,,,,,300.4,181,"1,966.10",11.1,8.2,30.4,181.1,1.2,1.7
Jake Bates,K,DET,135.9,7.99,,,,,,,,,,28.3,33.8,51.1,,,,,,
Jauan Jennings,WR,MIN,134,7.88,,,,,,,,,,48.7,557.1,5.2,0,0,0,0.7,,
Pat Freiermuth,TE,PIT,133.9,7.88,,,,,,,,,,53,558,4.3,0.2,,,,,
Jalen McMillan,WR,TB,133.8,7.87,,,,,,,,,,46.7,606.1,3.9,4.7,26.8,0.1,0.2,,
Greg Dulcich,TE,MIA,133.5,7.85,,,,,,,,,,54.6,619.7,3.2,1.2,,,,,
Rashod Bateman,WR,BAL,133.4,7.85,,,,,,,,,,38.4,594.5,6,0,0,0,0.2,,
Cairo Santos,K,CHI,132.9,7.82,,,,,,,,,,30,34.5,42.9,,,,,,
Chase McLaughlin,K,TB,132.9,7.82,,,,,,,,,,31.5,36.5,38.4,,,,,,
Eddy Pineiro,K,SF,132.6,7.80,,,,,,,,,,31,34.7,39.5,,,,,,
Tyler Loop,K,BAL,132,7.76,,,,,,,,,,28.4,32.5,46.7,,,,,,
Harrison Butker,K,KC,131.8,7.75,,,,,,,,,,31.3,36.2,37.9,,,,,,
