Player,pos,Team,FPTS,avg,,,,,,,,,,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL
Jacksonville Jaguars,DST,JAX,99,5.82,,,,,,,,,,37,13.9,9.2,13.6,2.6,0,387.4,"5,491.60",
Zachariah Branch,WR,ATL,98.6,5.80,,,,,,,,,,38.3,471.3,2.3,0,0,0,0.4,,
New England Patriots,DST,NE,98.1,5.77,,,,,,,,,,40.7,11.6,8.9,12.5,2.6,0.5,356.6,"5,268.50",
Mason Taylor,TE,NYJ,97.7,5.75,,,,,,,,,,44.5,390.9,2.4,0.1,,,,,
Tampa Bay Buccaneers,DST,TB,97.2,5.72,,,,,,,,,,41,11.7,10,13.4,2,0.5,392.5,"5,610.20",
Troy Franklin,WR,DEN,96.6,5.68,,,,,,,,,,36.5,395.9,3.4,3,10.8,0,0.6,,
Ja'Kobi Lane,WR,BAL,96.5,5.68,,,,,,,,,,30.4,459.2,3.4,1.5,8.5,0,0.6,,
Ty Johnson,RB,BUF,96.3,5.66,,,,,,,,,,51.6,218.7,2,24.9,250.7,2.1,,,
Samaje Perine,RB,CIN,96.2,5.66,,,,,,,,,,98.9,443.5,3.7,17.9,135.2,0.4,,,
Tyler Allgeier,RB,ARI,95.6,5.62,,,,,,,,,,111.7,428.1,4.2,17.1,108.4,0.2,,,
Green Bay Packers,DST,GB,95.3,5.61,,,,,,,,,,40.4,11.9,9.7,13.5,1.9,0,366.9,"5,515.10",
Chris Rodriguez Jr.,RB,JAX,94.8,5.58,,,,,,,,,,133.8,553.4,5.1,5.4,42.5,0.1,,,
AJ Dillon,RB,CAR,94.5,5.56,,,,,,,,,,123,509,3,16,136,1,,,
Tory Horton,WR,SEA,94.4,5.55,,,,,,,,,,30.3,401,4.2,0.5,3,0,0.6,,
Indianapolis Colts,DST,IND,94.3,5.55,,,,,,,,,,39.4,12.9,8.7,12.3,1.9,0,394.4,"5,522.00",
Washington Commanders,DST,WAS,94.3,5.55,,,,,,,,,,43.7,9.7,8.9,13.5,2,0.5,439.2,"6,140.20",
Devaughn Vele,WR,NO,94.2,5.54,,,,,,,,,,35.1,422.8,2.8,0,0,0,0.1,,
Brian Robinson Jr.,RB,ATL,93.1,5.48,,,,,,,,,,129.8,564.6,4.3,6.9,43,0.1,,,
Kansas City Chiefs,DST,KC,92.6,5.45,,,,,,,,,,42,11.7,8,12.3,1.9,0,349.6,"5,400.80",
Tyquan Thornton,WR,KC,92.6,5.45,,,,,,,,,,25.4,465.8,3.5,0,0,0,0.1,,
Colby Parkinson,TE,LAR,91.9,5.41,,,,,,,,,,34.3,354.4,3.9,0.6,,,,,
New York Giants,DST,NYG,91.9,5.41,,,,,,,,,,40.6,10.8,8.8,12.9,2,0,418.6,"6,062.30",
Miami Dolphins,DST,MIA,90.7,5.34,,,,,,,,,,42.4,10.1,9.1,13.8,1.6,0,451.1,"6,090.00",
Dallas Cowboys,DST,DAL,90.6,5.33,,,,,,,,,,41.6,10.4,8.5,13.3,1.9,0,443,"6,093.00",
David Njoku,TE,LAC,90.5,5.32,,,,,,,,,,34.7,324.2,3.9,0.1,,,,,
Arizona Cardinals,DST,ARI,90.3,5.31,,,,,,,,,,35.8,11.8,9.3,14,1.9,0.5,466.5,"6,155.70",
Michael Mayer,TE,LV,90.1,5.30,,,,,,,,,,40,377.4,2.1,0.1,,,,,
Las Vegas Raiders,DST,LV,90,5.29,,,,,,,,,,40.8,10.2,8.4,14,1.8,0.5,437.2,"5,738.70",
Jordan James,RB,SF,89.8,5.28,,,,,,,,,,97.9,397.7,3,16.1,142,0.7,,,
Hollywood Brown,WR,PHI,89.6,5.27,,,,,,,,,,31.3,389.1,3.3,0,0,0,0.1,,
Jalen Tolbert,WR,MIA,89.5,5.26,,,,,,,,,,35.4,441.7,1.8,0,0,0,0.3,,
Ryan Flournoy,WR,DAL,89.4,5.26,,,,,,,,,,34,383.8,2.7,2.2,12.4,0.1,0.4,,
Tre' Harris,WR,LAC,89.4,5.26,,,,,,,,,,34.5,408.4,2.5,0,0,0,0.4,,
Andrei Iosivas,WR,CIN,89,5.24,,,,,,,,,,31.1,393.7,2.9,2.5,11.1,0,0.1,,
Chris Bell,WR,MIA,88.4,5.20,,,,,,,,,,34.2,448.9,1.7,0,0,0,0.4,,
San Francisco 49ers,DST,SF,88,5.18,,,,,,,,,,35.9,11.1,9.3,15.3,1.9,0,395.3,"5,646.60",
Caleb Douglas,WR,MIA,87.8,5.16,,,,,,,,,,33.1,418.9,2.3,1,5.5,0,0.7,,
Carolina Panthers,DST,CAR,86.3,5.08,,,,,,,,,,38.2,11.6,7.1,10.6,1.8,0,404.1,"5,813.30",
Jahmyr Gibbs,RB,DET,86.09950617,5.07,,,,,,,,,,64.57966872,286.83,194.178827,6.805460043,44.03527208,5.167420642,,,
Jeremiyah Love,RB,ARI,86.05938789,5.06,,,,,,,,,,64.54544811,286.69,194.0714995,6.803033628,44.01744128,5.165728757,,,
Trey McBride,TE,ARI,86.01926961,5.06,,,,,,,,,,64.5112275,286.55,193.964172,6.800607213,43.99961049,5.164036871,,,
Braelon Allen,RB,NYJ,86,5.06,,,,,,,,,,97.3,391.3,4,12.9,93.8,0.7,,,
New York Jets,DST,NYJ,86,5.06,,,,,,,,,,37.4,10,8,12.2,1.9,0.5,433.1,"5,667.30",
Jacoby Brissett,QB,ARI,85.97915133,5.06,,,,,,,,,,64.4770069,286.4148078,193.86,6.798180799,43.98177969,5.162344986,69.64906824,1359.342148,1.289310134
Marvin Harrison Jr.,WR,ARI,85.93903305,5.06,,,,,,,,,,64.44278629,286.2756934,193.7495169,6.795754384,43.9639489,5.1606531,69.6263341,1358.62514,1.288690629
Michael Wilson,WR,ARI,85.89891478,5.05,,,,,,,,,,64.40856568,286.136579,193.6421893,6.793327969,43.9461181,5.158961215,69.60359997,1357.908132,1.288071125
Chad Ryland,K,ARI,85.8587965,5.05,,,,,,,,,,64.37434507,285.9974646,193.5348618,6.790901554,43.9282873,5.157269329,69.58086584,1357.191124,1.287451621
Tyler Allgeier,RB,ARI,85.81867822,5.05,,,,,,,,,,64.34012447,285.8583502,193.4275343,6.788475139,43.91045651,5.155577444,69.5581317,1356.474115,1.286832117
Arizona Cardinals,DST,ARI,85.77855994,5.05,,,,,,,,,,64.30590386,285.7192358,193.3202067,6.786048725,43.89262571,5.153885558,69.53539757,"1,355.76",1.286212612
James Conner,RB,ARI,85.73844166,5.04,,,,,,,,,,64.27168325,285.5801214,193.2128792,6.78362231,43.87479492,5.152193673,69.51266343,1355.040099,1.285593108
Kendrick Bourne,WR,ARI,85.69832338,5.04,,,,,,,,,,64.23746264,285.441007,193.1055517,6.781195895,43.85696412,5.150501787,69.4899293,1354.323091,1.284973604
Elijah Higgins,TE,ARI,85.65820511,5.04,,,,,,,,,,64.20324204,285.3018926,192.9982241,6.77876948,43.83913332,5.148809902,69.46719516,1353.606083,1.284354099
Teagan Quitoriano,TE,ARI,85.61808683,5.04,,,,,,,,,,64.16902143,285.1627782,192.8908966,6.776343065,43.82130253,5.147118016,69.44446103,1352.889074,1.283734595
Carson Beck,QB,ARI,85.57796855,5.03,,,,,,,,,,64.13480082,285.0236638,192.783569,6.773916651,43.80347173,5.14542613,69.42172689,1352.172066,1.283115091
Isaac TeSlaa,WR,DET,85,5.00,,,,,,,,,,25.4,351.9,4.1,0,0,0,0.1,,
Dyami Brown,WR,WAS,84.2,4.95,,,,,,,,,,29.6,392.1,2.7,0,0,0,0.3,,
Michael Penix Jr.,QB,ATL,83.6,4.92,,,,,,,,,,189,119.1,"1,350.80",7.2,3.7,13.5,47,0.3,1
Ted Hurst III,WR,TB,82.7,4.86,,,,,,,,,,28.9,389.5,2.6,1,6.5,0,0.6,,
Jack Bech,WR,LV,82.5,4.85,,,,,,,,,,34.5,397.8,1.5,0,0,0,0.4,,
Emari Demercado,RB,KC,82.5,4.85,,,,,,,,,,76.8,425.9,1.7,16.3,119,0.8,,,
Treylon Burks,WR,WAS,80.9,4.76,,,,,,,,,,28.3,393.6,2.3,0,0,0,0.2,,
Dawson Knox,TE,BUF,78.9,4.64,,,,,,,,,,28.7,328.7,2.9,0.1,,,,,
Ashton Dulin,WR,IND,78.5,4.62,,,,,,,,,,24.1,399.9,1.6,5.1,46.2,0.1,0.1,,
Mike Washington Jr.,RB,LV,77.7,4.57,,,,,,,,,,92.8,352.5,2.1,15.2,121.4,0.6,,,
Dominic Zvada,K,NYG,76.8,4.52,,,,,,,,,,18.2,21.7,22.3,,,,,,
Spencer Shrader,K,IND,76.5,4.50,,,,,,,,,,17,19.5,25.5,,,,,,
Theo Johnson,TE,NYG,76.2,4.48,,,,,,,,,,27.6,314.7,2.9,0.1,,,,,
Jahan Dotson,WR,ATL,75.2,4.42,,,,,,,,,,28.7,358.2,1.9,0,0,0,0.2,,
Jaylin Noel,WR,HOU,74.2,4.36,,,,,,,,,,28.8,322.6,1.8,4.2,22.2,0.1,0.3,,
Blake Grupe,K,IND,73.9,4.35,,,,,,,,,,18.9,22.5,17.4,,,,,,
Darnell Washington,TE,PIT,73.9,4.35,,,,,,,,,,30.7,327.7,2,0.6,,,,,
Christian Kirk,WR,SF,73.7,4.34,,,,,,,,,,28.6,323,2.1,0,0,0,0,,
Riley Patterson,K,MIA,73,4.29,,,,,,,,,,18,20.7,19,,,,,,
Kaelon Black,RB,SF,72.6,4.27,,,,,,,,,,93.7,369.3,3,8.5,76.2,0.6,,,
Pat Bryant,WR,DEN,72.5,4.26,,,,,,,,,,28.4,319.6,2.1,0,0,0,0.3,,
Tyler Higbee,TE,LAR,71.2,4.19,,,,,,,,,,26.1,306.5,2.4,0,,,,,
Keaton Mitchell,RB,LAC,70.8,4.16,,,,,,,,,,85.2,395.4,1.9,11.5,82.8,0.2,,,
Olamide Zaccheaus,WR,ATL,69.5,4.09,,,,,,,,,,30.1,277.1,1.8,1.5,9.5,0,0.1,,
Joshua Palmer,WR,BUF,69.2,4.07,,,,,,,,,,25.9,337.2,1.6,0,0,0,0.1,,
Savion Williams,WR,GB,69,4.06,,,,,,,,,,23.9,271.5,2,9,47,0.3,0.3,,
Ja'Tavion Sanders,TE,CAR,67.7,3.98,,,,,,,,,,29.4,264.6,2,0.1,,,,,
Tank Bigsby,RB,PHI,67.3,3.96,,,,,,,,,,85.6,419.6,3.2,3.3,29.3,0.1,,,
Chris Brooks,RB,GB,66.9,3.94,,,,,,,,,,72.7,323.3,1.3,15.4,107.5,0.3,,,
Marvin Mims Jr.,WR,DEN,66.7,3.92,,,,,,,,,,24.2,272.4,1.6,8.2,45.1,0.3,0.4,,
Cole Kmet,TE,CHI,66.3,3.90,,,,,,,,,,25.9,271.4,2.2,0.1,,,,,
Adam Randall,RB,BAL,66,3.88,,,,,,,,,,55.1,281.6,2,10.3,103.4,1.1,,,
Malik Davis,RB,DAL,65.7,3.86,,,,,,,,,,79.6,373.1,2.7,6.6,52.3,0.1,,,
Noah Fant,TE,NO,65.7,3.86,,,,,,,,,,30.4,285,1.7,1.6,,,,,
Dontayvion Wicks,WR,PHI,65.5,3.85,,,,,,,,,,24.3,310,1.8,0,0,0,0.3,,
Luke McCaffrey,WR,WAS,65,3.82,,,,,,,,,,20.7,289.4,2.6,0,0,0,0.1,,
Xavier Hutchinson,WR,HOU,64.1,3.77,,,,,,,,,,23.2,281,1.9,2.1,14.2,0,0.1,,
KaVontae Turpin,WR,DAL,63.6,3.74,,,,,,,,,,18.2,229.9,1.7,17.7,102.5,0.4,0.4,,
Tommy Tremble,TE,CAR,63.6,3.74,,,,,,,,,,26.6,253.7,2,0.1,,,,,
Will Kacmarek,TE,MIA,61.8,3.64,,,,,,,,,,26.6,250.8,1.9,0.6,,,,,
James Conner,RB,ARI,61.6,3.62,,,,,,,,,,42.5,155,1.5,18,131,1,,,
DeMario Douglas,WR,NE,61.3,3.61,,,,,,,,,,22.7,271.1,1.5,4.1,21.4,0.2,0.3,,
Kimani Vidal,RB,LAC,61.1,3.59,,,,,,,,,,62.2,251,1.6,11.9,104.3,0.7,,,
Jaylin Lane,WR,WAS,60.7,3.57,,,,,,,,,,22.7,279.2,1.8,0,0,0,0.2,,
Nick Westbrook-Ikhine,WR,IND,60.1,3.54,,,,,,,,,,21.7,269.6,2,0,0,0,0.2,,
Calvin Austin III,WR,NYG,60.1,3.54,,,,,,,,,,20,268.2,2.2,0,0,0,0,,
Elijah Sarratt,WR,BAL,59.2,3.48,,,,,,,,,,19.5,294.6,1.8,0,0,0,0.2,,
Keon Coleman,WR,BUF,59.1,3.48,,,,,,,,,,19.4,266,2.3,0,0,0,0.2,,
Erick All Jr.,TE,CIN,58.5,3.44,,,,,,,,,,26.1,228.4,1.6,0.1,,,,,
Ben Sauls,K,NYG,58.5,3.44,,,,,,,,,,15.3,18.7,12.5,,,,,,
Elijah Arroyo,TE,SEA,58.4,3.44,,,,,,,,,,23.6,240.1,1.9,0.2,,,,,
Jahdae Walker,WR,CHI,56,3.29,,,,,,,,,,17.1,225.8,2.7,0.5,3.5,0,0,,
Austin Hooper,TE,ATL,55.7,3.28,,,,,,,,,,22.5,236.7,1.6,0.1,,,,,
Charlie Kolar,TE,LAC,55.4,3.26,,,,,,,,,,20.2,230,2,0.1,,,,,
Cedric Tillman,WR,CLE,54.5,3.21,,,,,,,,,,18.5,234.6,2.1,0,-0.5,0,0,,
Eli Stowers,TE,PHI,53.9,3.17,,,,,,,,,,22.7,232.5,1.5,0.6,,,,,
Kyle Juszczyk,RB,SF,53.6,3.15,,,,,,,,,,4.2,10.3,0.1,23.2,202.2,1.5,,,
Tutu Atwell,WR,MIA,53.4,3.14,,,,,,,,,,20.4,291.7,0.5,2.2,11.3,0.1,0.2,,
Josh Oliver,TE,MIN,52.1,3.06,,,,,,,,,,18.6,193.9,2.4,0.1,,,,,
Kevin Coleman Jr.,WR,MIA,51.8,3.05,,,,,,,,,,21.1,270.5,0.7,0,0,0,0.2,,
Emanuel Wilson,RB,SEA,51.2,3.01,,,,,,,,,,69.7,289.5,1.7,7.7,52.1,0,,,
Noah Gray,TE,KC,50.8,2.99,,,,,,,,,,21,211.2,1.5,0.1,,,,,
Brock Wright,TE,DET,50.7,2.98,,,,,,,,,,19.4,175.2,2.3,0,,,,,
Jaylen Wright,RB,MIA,50.5,2.97,,,,,,,,,,79.9,308,1.5,7.2,52,0.1,,,
Jawhar Jordan,RB,HOU,50.3,2.96,,,,,,,,,,51.3,218.5,1.1,11,87,0.5,,,
Kendrick Bourne,WR,ARI,50.3,2.96,,,,,,,,,,22.8,239.4,0.7,0,0,0,0.2,,
Luke Musgrave,TE,GB,49.9,2.94,,,,,,,,,,21.7,211.6,1.2,0,,,,,
Jake Tonges,TE,SF,48.1,2.83,,,,,,,,,,19.1,200,1.5,0.1,,,,,
Adam Trautman,TE,DEN,47.6,2.80,,,,,,,,,,19.4,194,1.5,0,,,,,
Kirk Cousins,QB,LV,47.2,2.78,,,,,,,,,,114,74.1,783.5,5.1,3.9,5.2,9,0.1,0.9
Demarcus Robinson,WR,SF,46.7,2.75,,,,,,,,,,15.5,219,1.5,0.5,2.5,0,0,,
Jaydon Blue,RB,DAL,46.5,2.74,,,,,,,,,,48.7,205,1.5,8.8,61.8,0.4,,,
Eli Raridon,TE,NE,46.5,2.74,,,,,,,,,,18.8,195.8,1.5,0.6,,,,,
Kalif Raymond,WR,CHI,46.5,2.74,,,,,,,,,,19.2,187,0.9,4.6,27.2,0.2,0.2,,
LeQuint Allen Jr.,RB,JAX,45.8,2.69,,,,,,,,,,8,33.9,0.2,21.7,148,0.8,,,
Elijah Higgins,TE,ARI,45.5,2.68,,,,,,,,,,22,196.1,0.8,0.6,,,,,
Ben Sims,TE,MIA,44.8,2.64,,,,,,,,,,19.5,184.2,1.2,0,,,,,
Marlin Klein,TE,HOU,44.5,2.62,,,,,,,,,,19.5,193.6,1.1,0.5,,,,,
Davis Allen,TE,LAR,43.8,2.58,,,,,,,,,,16.9,157.3,1.9,0,,,,,
John Bates,TE,WAS,43.8,2.58,,,,,,,,,,18.4,173.3,1.5,0.6,,,,,
Cyrus Allen,WR,KC,43.7,2.57,,,,,,,,,,16.2,202.8,1.3,0,0,0,0.2,,
Isaiah Davis,RB,NYJ,43.3,2.55,,,,,,,,,,35.1,174.6,1.2,9.9,78.2,0.2,,,
MarShawn Lloyd,RB,GB,43.2,2.54,,,,,,,,,,50.6,211.7,1.6,6.5,48.5,0.3,,,
Skyler Bell,WR,BUF,42.6,2.51,,,,,,,,,,15.1,205.5,1.2,0,0,0,0.2,,
Bryce Lance,WR,NO,42.1,2.48,,,,,,,,,,16.4,204.4,0.9,0,0,0,0.2,,
Jeremy Ruckert,TE,NYJ,41.8,2.46,,,,,,,,,,19.7,145.8,1.3,0,,,,,
George Holani,RB,SEA,41.1,2.42,,,,,,,,,,38.9,164.2,1.5,8,62.2,0.3,,,
Jordan Whittington,WR,LAR,41.1,2.42,,,,,,,,,,15,171.9,1.2,2.3,12.1,0.1,0.2,,
Mitchell Evans,TE,CAR,37.6,2.21,,,,,,,,,,15,138.6,1.5,0.1,,,,,
Ty Chandler,RB,NO,37.5,2.21,,,,,,,,,,51,138,1,12,57,0,,,
Nate Boerkircher,TE,JAX,37.1,2.18,,,,,,,,,,14.9,155.8,1.3,0.5,,,,,
Connor Heyward,TE,LV,36.3,2.14,,,,,,,,,,14,103,2,0,,,,,
Cade York,K,NYJ,36,2.12,,,,,,,,,,12,15,0,,,,,,
Ray Davis,RB,BUF,35.8,2.11,,,,,,,,,,32.3,137.8,1.1,7.8,60,0.4,,,
DJ Giddens,RB,IND,35.9,2.11,,,,,,,,,,33.6,141.5,1,8.6,56.8,0.3,,,
Devontez Walker,WR,BAL,35.1,2.06,,,,,,,,,,11.6,166.4,1.2,0,0,0,0.1,,
Odell Beckham Jr.,WR,NYG,35.1,2.06,,,,,,,,,,13.3,164.3,0.9,0.3,1.4,0,0.1,,
Frank Gore Jr.,RB,BUF,35,2.06,,,,,,,,,,37,174,2,3,26,0,,,
Zavion Thomas,WR,CHI,34.9,2.05,,,,,,,,,,12.5,153.6,1.2,0,0,0,0.1,,
Ollie Gordon II,RB,MIA,34.6,2.04,,,,,,,,,,49.4,202.8,1.2,3.9,27.8,0.1,,,
Emmett Johnson,RB,KC,34.5,2.03,,,,,,,,,,39.7,165.1,1.3,5.2,41.1,0.2,,,
Roschon Johnson,RB,CHI,34.2,2.01,,,,,,,,,,33,115,3,3,17,0,,,
Malachi Fields,WR,NYG,34,2.00,,,,,,,,,,13.2,157.5,0.9,0,0,0,0.1,,
Drew Sample,TE,CIN,33.8,1.99,,,,,,,,,,15.1,123.1,1.1,0.1,,,,,
Cade Stover,TE,HOU,33.1,1.95,,,,,,,,,,15.2,128.1,0.9,0.1,,,,,
Jonah Coleman,RB,DEN,32.7,1.92,,,,,,,,,,28.3,117.9,0.9,8.1,58.6,0.3,,,
Brashard Smith,RB,KC,32.5,1.91,,,,,,,,,,25,89,0.5,10.5,71,0.5,,,
Dont'e Thornton Jr.,WR,LV,32.2,1.89,,,,,,,,,,12.1,167.6,0.6,0,0,0,0.1,,
Sean Tucker,RB,TB,32.2,1.89,,,,,,,,,,38.8,163.8,2.2,1.5,10.2,0,,,
Nate Adkins,TE,DEN,31.7,1.86,,,,,,,,,,11.9,88.3,1.8,0,,,,,
Ben Sinnott,TE,WAS,31.6,1.86,,,,,,,,,,11.8,116,1.4,0,,,,,
Nick Vannett,TE,SEA,31.5,1.85,,,,,,,,,,10,95,2,0,,,,,
Jack Endries,TE,CIN,31.3,1.84,,,,,,,,,,13,123,1,0,,,,,
Luke Schoonmaker,TE,DAL,31,1.82,,,,,,,,,,13.2,121.6,0.9,0,,,,,
Charlie Woerner,TE,ATL,30.7,1.81,,,,,,,,,,14.5,127.3,0.6,0,,,,,
Jackson Hawes,TE,BUF,30.6,1.80,,,,,,,,,,10.6,115.1,1.4,0,,,,,
Isaiah Bond,WR,CLE,30.4,1.79,,,,,,,,,,9.9,130.1,0.8,4.3,23.5,0.1,0.1,,
Hayden Rucci,TE,SF,29.8,1.75,,,,,,,,,,12,118,1,0,,,,,
Will Mallory,TE,IND,29.5,1.74,,,,,,,,,,11,125,1,0,,,,,
Tanner Hudson,TE,CIN,29.2,1.72,,,,,,,,,,13.1,110.3,0.9,0.1,,,,,
Konata Mumpfield,WR,LAR,29.2,1.72,,,,,,,,,,9.9,126.7,1.2,0,0,0,0.1,,
Cam Grandy,TE,CIN,29,1.71,,,,,,,,,,13,100,1,0,,,,,
Teagan Quitoriano,TE,ARI,28.8,1.69,,,,,,,,,,12,108,1,0,,,,,
Grant Calcaterra,TE,PHI,28.5,1.68,,,,,,,,,,11,115,1,0,,,,,
Bauer Sharp,TE,TB,28.2,1.66,,,,,,,,,,11,112,1,0,,,,,
Mack Hollins,WR,NE,28,1.65,,,,,,,,,,10.8,126.7,0.8,0,0,0,0.1,,
Phil Mafah,RB,DAL,27.6,1.62,,,,,,,,,,32,142,1,4,34,0,,,
Foster Moreau,TE,HOU,27.6,1.62,,,,,,,,,,9.3,105.6,1.3,0,,,,,
Will Shipley,RB,PHI,27.5,1.62,,,,,,,,,,9.3,39.6,0.3,11.3,83.5,0.4,,,
Brenen Thompson,WR,LAC,27.4,1.61,,,,,,,,,,9.5,121,0.7,2.1,11.3,0.1,0.1,,
Tanner Conner,TE,NYG,27.3,1.61,,,,,,,,,,10,113,1,0,,,,,
Jeremy McNichols,RB,WAS,27.2,1.60,,,,,,,,,,17,88,1,7,54,0,,,
Mo Alie-Cox,TE,IND,27.1,1.59,,,,,,,,,,10.8,111,0.9,0.1,,,,,
KeAndre Lambert-Smith,WR,LAC,26.6,1.56,,,,,,,,,,9.6,121,0.9,0,0,0,0.1,,
Jared Wiley,TE,KC,26.5,1.56,,,,,,,,,,11,95,1,0,,,,,
Jam Miller,RB,NE,26.1,1.54,,,,,,,,,,34,156,1,2,25,0,,,
Thomas Fidone II,TE,NYG,26.1,1.54,,,,,,,,,,10,101,1,0,,,,,
Elijah Mitchell,RB,PHI,26.1,1.54,,,,,,,,,,35,159,1,2,22,0,,,
Jaheim Bell,TE,PIT,25.8,1.52,,,,,,,,,,10,98,1,0,,,,,
Jaren Kanak,TE,TEN,25.6,1.51,,,,,,,,,,10,96,1,0,,,,,
Hunter Luepke,RB,DAL,25,1.47,,,,,,,,,,13.3,56.1,0.4,8.6,61.7,0.4,,,
Durham Smythe,TE,BAL,23.6,1.39,,,,,,,,,,9.8,94.1,0.7,0.1,,,,,
Josh Whyle,TE,GB,23.6,1.39,,,,,,,,,,9,86,1,0,,,,,
Zack Kuntz,TE,LV,23.7,1.39,,,,,,,,,,9,87,1,0,,,,,
Demond Claiborne,RB,MIN,23.6,1.39,,,,,,,,,,27.7,121.6,0.9,3.3,25.2,0.1,,,
Salvon Ahmed,RB,CHI,23.4,1.38,,,,,,,,,,35,152,1,1,12,0,,,
Ty Simpson,QB,LAR,23.4,1.38,,,,,,,,,,40.9,25.8,298.2,2.6,0.8,4.1,18.4,0,0.1
Carson Beck,QB,ARI,23.1,1.36,,,,,,,,,,49.1,30.9,337.8,2.2,1.2,5.2,20.1,0.1,0.2
Israel Abanikanda,RB,DAL,23.1,1.36,,,,,,,,,,32,147,1,1,14,0,,,
Seth McGowan,RB,IND,23.2,1.36,,,,,,,,,,22.3,97.1,1.2,3.2,26.9,0.1,,,
Jarquez Hunter,RB,LAR,23.2,1.36,,,,,,,,,,32,148,1,1,14,0,,,
Carlos Washington Jr.,RB,MIA,22.9,1.35,,,,,,,,,,31,130,1,2,19,0,,,
Donovan Edwards,RB,MIA,22.9,1.35,,,,,,,,,,31,130,1,2,19,0,,,
J.J. McCarthy,QB,MIN,22.5,1.32,,,,,,,,,,48.6,30.2,340.3,1.8,1.4,5.9,27,0.2,0.4
Kyle Williams,WR,NE,22.1,1.30,,,,,,,,,,6.4,91.5,0.6,4.1,22.3,0.2,0.1,,
Dameon Pierce,RB,PHI,22.1,1.30,,,,,,,,,,35,161,1,0,0,0,,,
Tez Johnson,WR,TB,21.5,1.26,,,,,,,,,,6.7,77.6,0.6,4.4,23.3,0.2,0.1,,
Kaytron Allen,RB,WAS,21.5,1.26,,,,,,,,,,23.6,110.8,0.7,3.1,25.4,0.1,,,
Jimmy Horn Jr.,WR,CAR,21.4,1.26,,,,,,,,,,6.6,76.6,0.4,6.2,36.8,0.2,0.1,,
Anthony Richardson Sr.,QB,IND,21,1.24,,,,,,,,,,35,23,254,2,1,9,38,0,0
Joe Royer,TE,CLE,20.8,1.22,,,,,,,,,,8.8,81.1,0.7,0,,,,,
Max Klare,TE,LAR,19.8,1.16,,,,,,,,,,7.5,82.6,0.7,0,,,,,
Devin Singletary,RB,NYG,19.8,1.16,,,,,,,,,,22.3,89.2,0.6,4.2,26.3,0.1,,,
Nicholas Singleton,RB,TEN,19.7,1.16,,,,,,,,,,20.3,83.4,0.6,4.3,29.9,0.2,,,
Mitch Tinsley,WR,CIN,19.5,1.15,,,,,,,,,,6.6,84.1,0.8,0,0,0,0.1,,
Devin Neal,RB,NO,19.2,1.13,,,,,,,,,,22.5,89.5,1,2.5,17.5,0,,,
Tyler Badie,RB,DEN,19.1,1.12,,,,,,,,,,4.1,17.7,0.1,8,65.5,0.4,,,
Jerome Ford,RB,WAS,19.1,1.12,,,,,,,,,,17.5,97,0.5,4,23.5,0,,,
Tahj Brooks,RB,CIN,18.3,1.08,,,,,,,,,,30.6,129.4,0.9,0,0,0,,,
Jalen Royals,WR,KC,18.3,1.08,,,,,,,,,,6.8,78,0.6,0,0,0,0.1,,
Payne Durham,TE,TB,18,1.06,,,,,,,,,,7.2,70.7,0.6,0.1,,,,,
Marcus Mariota,QB,WAS,18.1,1.06,,,,,,,,,,34.8,22.2,256.6,2,0.8,1.4,7.9,0,0.1
Tip Reiman,TE,ARI,17.7,1.04,,,,,,,,,,7.9,62.2,0.6,0,,,,,
Sam Roush,TE,CHI,17.7,1.04,,,,,,,,,,6.8,70.9,0.6,0,,,,,
Devin Culp,TE,TB,17.4,1.02,,,,,,,,,,5.5,59,1,0,,,,,
Michael Burton,RB,CLE,16.5,0.97,,,,,,,,,,6.6,13.8,0.6,5.1,33.2,0.6,,,
Alec Ingold,RB,LAC,16.4,0.96,,,,,,,,,,2.1,8.6,0.1,7.9,58.3,0.2,,,
Anthony Gould,WR,IND,16.2,0.95,,,,,,,,,,7,74.5,0.3,0,0,0,0.1,,
Josh Cuevas,TE,BAL,16.2,0.95,,,,,,,,,,5.7,66.4,0.6,0,,,,,
Malik Benson,WR,LV,15.7,0.92,,,,,,,,,,6.4,79.3,0.3,0,0,0,0.1,,
Hunter Long,TE,JAX,15.5,0.91,,,,,,,,,,5,44.5,1,0,,,,,
Trevor Etienne,RB,CAR,14.9,0.88,,,,,,,,,,12.3,52.5,0.3,4.1,29.7,0.2,,,
Isaac Guerendo,RB,SF,14.9,0.88,,,,,,,,,,16.5,80,0.5,2,18.5,0,,,
Andrew Beck,RB,NYJ,14.8,0.87,,,,,,,,,,0.5,4,0,4.6,31.6,1.1,,,
Greg Dortch,WR,DET,14.1,0.83,,,,,,,,,,4.1,39.8,0.3,4.6,24,0.4,0.1,,
Chris Manhertz,TE,NYG,13.9,0.82,,,,,,,,,,5.4,51.2,0.6,0,,,,,
Riley Leonard,QB,IND,13.8,0.81,,,,,,,,,,29.9,18.8,208.6,1.4,0.8,1.6,7.2,0,0.2
Lucas Krull,TE,DEN,13.5,0.79,,,,,,,,,,6,44.5,0.5,0,,,,,
Davis Mills,QB,HOU,12.7,0.75,,,,,,,,,,27.2,16.7,182.5,1.3,0.5,2.7,9,0,0.1
Shane Buechele,QB,BUF,12,0.71,,,,,,,,,,20,14,150,1,0,4,20,0,0
